Source,Target,Type,Weight,book
Addam-Marbrand,Jaime-Lannister,Undirected,3,1
Addam-Marbrand,Tywin-Lannister,Undirected,6,1
Aegon-I-Targaryen,DAENERYS,Undirected,5,1
Aegon-I-Targaryen,NED,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Bowen-Marsh,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Chett,Undirected,9,1
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,5,1
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1
Aemon-Targaryen-(Maester-Aemon),JON,Undirected,34,1
Aemon-Targaryen-(Maester-Aemon),SAM,Undirected,5,1
Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1
Aerys-II-Targaryen,NED,Undirected,10,1
Aerys-II-Targaryen,Gerold-Hightower,Undirected,3,1
Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1
Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1
Aerys-II-Targaryen,ROBERT,Undirected,12,1
Aggo,DAENERYS,Undirected,11,1
Aggo,DROGO,Undirected,6,1
Aggo,Jhogo,Undirected,4,1
Aggo,JORAH,Undirected,5,1
Aggo,Quaro,Undirected,3,1
Aggo,Rakharo,Undirected,7,1
Albett,Halder,Undirected,3,1
Albett,JON,Undirected,5,1
Albett,Rast,Undirected,3,1
Alliser-Thorne,Bowen-Marsh,Undirected,3,1
Alliser-Thorne,Grenn,Undirected,3,1
Alliser-Thorne,Halder,Undirected,4,1
Alliser-Thorne,Jeor-Mormont,Undirected,10,1
Alliser-Thorne,JON,Undirected,32,1
Alliser-Thorne,Pypar,Undirected,4,1
Alliser-Thorne,Rast,Undirected,5,1
Alliser-Thorne,SAM,Undirected,8,1
Alliser-Thorne,Tyrion-Lannister,Undirected,7,1
Alyn,NED,Undirected,11,1
Alyn,Harwin,Undirected,6,1
Alyn,Jory-Cassel,Undirected,8,1
Alyn,ROBERT,Undirected,4,1
Alyn,Tomard,Undirected,3,1
Arthur-Dayne,Gerold-Hightower,Undirected,4,1
ARYA,Benjen-Stark,Undirected,3,1
ARYA,Bran-Stark,Undirected,14,1
ARYA,CATELYN,Undirected,5,1
ARYA,Cersei-Lannister,Undirected,12,1
ARYA,Desmond,Undirected,3,1
ARYA,NED,Undirected,30,1
ARYA,Ilyn-Payne,Undirected,5,1
ARYA,Jeyne-Poole,Undirected,10,1
ARYA,Joffrey-Baratheon,Undirected,39,1
ARYA,JON,Undirected,37,1
ARYA,Jory-Cassel,Undirected,12,1
ARYA,Meryn-Trant,Undirected,4,1
ARYA,Mordane,Undirected,39,1
ARYA,Mycah,Undirected,18,1
ARYA,Myrcella-Baratheon,Undirected,13,1
ARYA,LITTLEFINGER,Undirected,3,1
ARYA,Rickon-Stark,Undirected,7,1
ARYA,ROBB,Undirected,15,1
ARYA,ROBERT,Undirected,8,1
ARYA,Rodrik-Cassel,Undirected,3,1
ARYA,Sandor-Clegane,Undirected,7,1
ARYA,Sansa-Stark,Undirected,104,1
ARYA,Syrio-Forel,Undirected,20,1
ARYA,Tomard,Undirected,6,1
ARYA,Tommen-Baratheon,Undirected,5,1
ARYA,Vayon-Poole,Undirected,4,1
ARYA,Yoren,Undirected,4,1
Arys-Oakheart,Cersei-Lannister,Undirected,3,1
Balon-Greyjoy,NED,Undirected,3,1
Balon-Greyjoy,ROBERT,Undirected,4,1
Balon-Swann,Renly-Baratheon,Undirected,3,1
Balon-Swann,Sandor-Clegane,Undirected,3,1
Barristan-Selmy,Boros-Blount,Undirected,3,1
Barristan-Selmy,Cersei-Lannister,Undirected,12,1
Barristan-Selmy,NED,Undirected,28,1
Barristan-Selmy,Jaime-Lannister,Undirected,4,1
Barristan-Selmy,Joffrey-Baratheon,Undirected,6,1
Barristan-Selmy,Jon-Arryn,Undirected,4,1
Barristan-Selmy,Meryn-Trant,Undirected,3,1
Barristan-Selmy,LITTLEFINGER,Undirected,7,1
Barristan-Selmy,Pycelle,Undirected,8,1
Barristan-Selmy,Renly-Baratheon,Undirected,13,1
Barristan-Selmy,ROBERT,Undirected,40,1
Barristan-Selmy,Sandor-Clegane,Undirected,3,1
Barristan-Selmy,Sansa-Stark,Undirected,3,1
Barristan-Selmy,VARYS,Undirected,9,1
Benjen-Stark,Bran-Stark,Undirected,6,1
Benjen-Stark,Cersei-Lannister,Undirected,3,1
Benjen-Stark,Jaremy-Rykker,Undirected,3,1
Benjen-Stark,Jeor-Mormont,Undirected,9,1
Benjen-Stark,JON,Undirected,41,1
Benjen-Stark,Luwin,Undirected,7,1
Benjen-Stark,Mance-Rayder,Undirected,3,1
Benjen-Stark,ROBB,Undirected,7,1
Benjen-Stark,ROBERT,Undirected,3,1
Benjen-Stark,Theon-Greyjoy,Undirected,4,1
Benjen-Stark,Tyrion-Lannister,Undirected,8,1
Benjen-Stark,Waymar-Royce,Undirected,3,1
Benjen-Stark,Yoren,Undirected,4,1
Beric-Dondarrion,NED,Undirected,3,1
Beric-Dondarrion,Gregor-Clegane,Undirected,6,1
Beric-Dondarrion,Loras-Tyrell,Undirected,5,1
Beric-Dondarrion,ROBERT,Undirected,5,1
Beric-Dondarrion,Sansa-Stark,Undirected,4,1
Beric-Dondarrion,Thoros-of-Myr,Undirected,5,1
Boros-Blount,Cersei-Lannister,Undirected,9,1
Boros-Blount,Joffrey-Baratheon,Undirected,3,1
Boros-Blount,Meryn-Trant,Undirected,5,1
Boros-Blount,Sansa-Stark,Undirected,6,1
Bowen-Marsh,Jeor-Mormont,Undirected,8,1
Bowen-Marsh,JON,Undirected,10,1
Bowen-Marsh,SAM,Undirected,3,1
Bran-Stark,CATELYN,Undirected,18,1
Bran-Stark,Cersei-Lannister,Undirected,6,1
Bran-Stark,NED,Undirected,19,1
Bran-Stark,Hali,Undirected,3,1
Bran-Stark,Hallis-Mollen,Undirected,3,1
Bran-Stark,Hodor,Undirected,29,1
Bran-Stark,Hullen,Undirected,3,1
Bran-Stark,Jeor-Mormont,Undirected,4,1
Bran-Stark,Joffrey-Baratheon,Undirected,3,1
Bran-Stark,Jon-Arryn,Undirected,7,1
Bran-Stark,JON,Undirected,56,1
Bran-Stark,Jory-Cassel,Undirected,11,1
Bran-Stark,Joseth,Undirected,4,1
Bran-Stark,Luwin,Undirected,65,1
Bran-Stark,Nan,Undirected,17,1
Bran-Stark,Osha,Undirected,12,1
Bran-Stark,LITTLEFINGER,Undirected,3,1
Bran-Stark,Renly-Baratheon,Undirected,3,1
Bran-Stark,Rickard-Karstark,Undirected,4,1
Bran-Stark,Rickard-Stark,Undirected,4,1
Bran-Stark,Rickon-Stark,Undirected,32,1
Bran-Stark,ROBB,Undirected,112,1
Bran-Stark,ROBERT,Undirected,11,1
Bran-Stark,Rodrik-Cassel,Undirected,6,1
Bran-Stark,Sansa-Stark,Undirected,10,1
Bran-Stark,Stiv,Undirected,4,1
Bran-Stark,Theon-Greyjoy,Undirected,23,1
Bran-Stark,Tommen-Baratheon,Undirected,5,1
Bran-Stark,Tyrion-Lannister,Undirected,31,1
Bran-Stark,Yoren,Undirected,3,1
Brandon-Stark,NED,Undirected,11,1
Brandon-Stark,Lyanna-Stark,Undirected,4,1
Brandon-Stark,LITTLEFINGER,Undirected,14,1
Brandon-Stark,Rickard-Stark,Undirected,3,1
Brandon-Stark,ROBERT,Undirected,5,1
BRONN,CATELYN,Undirected,6,1
BRONN,Chiggen,Undirected,8,1
BRONN,Marillion,Undirected,4,1
BRONN,Rodrik-Cassel,Undirected,4,1
BRONN,Shae,Undirected,3,1
BRONN,Shagga,Undirected,3,1
BRONN,Tyrion-Lannister,Undirected,61,1
BRONN,Tywin-Lannister,Undirected,4,1
BRONN,Vardis-Egen,Undirected,11,1
BRONN,Willis-Wode,Undirected,5,1
Brynden-Tully,CATELYN,Undirected,16,1
Brynden-Tully,Edmure-Tully,Undirected,3,1
Brynden-Tully,Hoster-Tully,Undirected,5,1
Brynden-Tully,Jaime-Lannister,Undirected,7,1
Brynden-Tully,Lysa-Arryn,Undirected,10,1
Brynden-Tully,Nestor-Royce,Undirected,3,1
Brynden-Tully,ROBB,Undirected,9,1
Brynden-Tully,Theon-Greyjoy,Undirected,6,1
Brynden-Tully,Tyrion-Lannister,Undirected,4,1
Brynden-Tully,Tywin-Lannister,Undirected,3,1
Brynden-Tully,Walder-Frey,Undirected,3,1
CATELYN,Cersei-Lannister,Undirected,12,1
CATELYN,Colemon,Undirected,3,1
CATELYN,Donnel-Waynwood,Undirected,3,1
CATELYN,NED,Undirected,64,1
