Source;Target;Type;Weight;book;Genero
Addam-Marbrand;Gyles-Rosby;Undirected;3;3;M
Addam-Marbrand;Jaime-Lannister;Undirected;3;3;M
Addam-Marbrand;Jalabhar-Xho;Undirected;3;3;M
Addam-Marbrand;Joffrey-Baratheon;Undirected;3;3;M
Addam-Marbrand;Kevan-Lannister;Undirected;3;3;M
Addam-Marbrand;Oberyn-Martell;Undirected;3;3;M
Addam-Marbrand;Tyrion-Lannister;Undirected;7;3;M
Addam-Marbrand;VARYS;Undirected;4;3;M
Aegon-Frey-(son-of-Stevron);CATELYN;Undirected;4;3;M
Aegon-Frey-(son-of-Stevron);ROBB;Undirected;5;3;M
Aegon-Frey-(son-of-Stevron);Stevron-Frey;Undirected;3;3;M
Aegon-Frey-(son-of-Stevron);Walder-Frey;Undirected;6;3;M
Aegon-I-Targaryen;DAENERYS;Undirected;4;3;M
Aegon-I-Targaryen;Stannis-Baratheon;Undirected;4;3;M
Aegon-I-Targaryen;Torrhen-Stark;Undirected;3;3;M
Aegon-Targaryen-(son-of-Rhaegar);Elia-Martell;Undirected;3;3;M
Aemon-Targaryen-(Dragonknight);Jaime-Lannister;Undirected;3;3;M
Aemon-Targaryen-(Maester-Aemon);Alliser-Thorne;Undirected;3;3;M
Aemon-Targaryen-(Maester-Aemon);Clydas;Undirected;16;3;M
Aemon-Targaryen-(Maester-Aemon);Cotter-Pyke;Undirected;3;3;M
Aemon-Targaryen-(Maester-Aemon);Denys-Mallister;Undirected;4;3;M
Aemon-Targaryen-(Maester-Aemon);Donal-Noye;Undirected;11;3;M
Aemon-Targaryen-(Maester-Aemon);Eddison-Tollett;Undirected;3;3;M
Aemon-Targaryen-(Maester-Aemon);Grenn;Undirected;5;3;M
Aemon-Targaryen-(Maester-Aemon);Hobb;Undirected;3;3;M
Aemon-Targaryen-(Maester-Aemon);Janos-Slynt;Undirected;5;3;M
Aemon-Targaryen-(Maester-Aemon);Jeor-Mormont;Undirected;3;3;M
Aemon-Targaryen-(Maester-Aemon);JON;Undirected;36;3;M
Aemon-Targaryen-(Maester-Aemon);Mance-Rayder;Undirected;5;3;M
Aemon-Targaryen-(Maester-Aemon);Owen;Undirected;3;3;M
Aemon-Targaryen-(Maester-Aemon);Pypar;Undirected;5;3;M
Aemon-Targaryen-(Maester-Aemon);ROBERT;Undirected;5;3;M
Aemon-Targaryen-(Maester-Aemon);SAM;Undirected;32;3;M
Aemon-Targaryen-(Maester-Aemon);Stannis-Baratheon;Undirected;9;3;M
Aemon-Targaryen-(Maester-Aemon);Wynton-Stout;Undirected;3;3;M
Aerys-II-Targaryen;Arthur-Dayne;Undirected;5;3;M
Aerys-II-Targaryen;Brienne-of-Tarth;Undirected;3;3;M
Aerys-II-Targaryen;Jaime-Lannister;Undirected;22;3;M
Aerys-II-Targaryen;Joffrey-Baratheon;Undirected;6;3;M
Aerys-II-Targaryen;ROBERT;Undirected;9;3;M
Aerys-II-Targaryen;Rossart;Undirected;4;3;M
Aerys-II-Targaryen;Tyrion-Lannister;Undirected;6;3;M
Aerys-II-Targaryen;Tywin-Lannister;Undirected;10;3;M
Aerys-II-Targaryen;Viserys-Targaryen;Undirected;3;3;M
Aggo;Jhogo;Undirected;4;3;M
