Source;Target;Type;Weight;book;Gender
Aegon-I-Targaryen;DAENERYS;undirected;4;5;M
Aegon-Targaryen-(son-of-Rhaegar);DAENERYS;undirected;11;5;M
Aegon-Targaryen-(son-of-Rhaegar);Elia-Martell;undirected;4;5;M
Aegon-Targaryen-(son-of-Rhaegar);Franklyn-Flowers;undirected;3;5;M
Aegon-Targaryen-(son-of-Rhaegar);Haldon;undirected;14;5;M
Aegon-Targaryen-(son-of-Rhaegar);Harry-Strickland;undirected;9;5;M
Aegon-Targaryen-(son-of-Rhaegar);Jon-Connington;undirected;16;5;M
Aegon-Targaryen-(son-of-Rhaegar);Lemore;undirected;10;5;M
Aegon-Targaryen-(son-of-Rhaegar);Rhaegar-Targaryen;undirected;9;5;M
Aegon-Targaryen-(son-of-Rhaegar);Rhaenys-Targaryen-(daughter-of-Rhaegar);undirected;4;5;M
Aegon-Targaryen-(son-of-Rhaegar);Rolly-Duckfield;undirected;11;5;M
Aegon-Targaryen-(son-of-Rhaegar);Tyrion-Lannister;undirected;23;5;M
Aegon-Targaryen-(son-of-Rhaegar);Tywin-Lannister;undirected;3;5;M
Aegon-Targaryen-(son-of-Rhaegar);Viserys-Targaryen;undirected;3;5;M
Aegon-Targaryen-(son-of-Rhaegar);Yandry;undirected;6;5;M
Aegon-Targaryen-(son-of-Rhaegar);Ysilla;undirected;4;5;M
Aemon-Targaryen-(Maester-Aemon);Clydas;undirected;7;5;M
Aemon-Targaryen-(Maester-Aemon);Gilly;undirected;3;5;M
Aemon-Targaryen-(Maester-Aemon);JON;undirected;12;5;M
Aemon-Targaryen-(Maester-Aemon);SAM;undirected;16;5;M
Aemon-Targaryen-(Maester-Aemon);Stannis-Baratheon;undirected;3;5;M
Aenys-Frey;Hosteen-Frey;undirected;6;5;M
Aenys-Frey;Theon-Greyjoy;undirected;3;5;M
Aenys-Frey;Wyman-Manderly;undirected;4;5;M
Aeron-Greyjoy;Euron-Greyjoy;undirected;4;5;M
Aeron-Greyjoy;Victarion-Greyjoy;undirected;3;5;M
Aerys-II-Targaryen;Rhaegar-Targaryen;undirected;5;5;M
Aerys-II-Targaryen;ROBERT;undirected;5;5;M
Aerys-II-Targaryen;Tywin-Lannister;undirected;6;5;M
Aggo;Barristan-Selmy;undirected;3;5;M
Aggo;Daario-Naharis;undirected;4;5;M
Aggo;DAENERYS;undirected;9;5;M
Aggo;Grey-Worm;undirected;5;5;M
Aggo;Jhogo;undirected;6;5;M
Aggo;Rakharo;undirected;9;5;M
Alliser-Thorne;JON;undirected;6;5;M
Alys-Karstark;JON;undirected;13;5;F
Alys-Karstark;Melisandre;undirected;6;5;F
Alys-Karstark;Sigorn;undirected;5;5;F
Alysane-Mormont;Asha-Greyjoy;undirected;18;5;F
Alysane-Mormont;Justin-Massey;undirected;5;5;F
Alysane-Mormont;Stannis-Baratheon;undirected;5;5;F
Archibald-Yronwood;Cletus-Yronwood;undirected;5;5;M
Archibald-Yronwood;Gerris-Drinkwater;undirected;13;5;M
Archibald-Yronwood;Quentyn-Martell;undirected;21;5;M
Archibald-Yronwood;Tattered-Prince;undirected;4;5;M
Areo-Hotah;Arianne-Martell;undirected;11;5;M
Areo-Hotah;Arys-Oakheart;undirected;4;5;M
Areo-Hotah;Balon-Swann;undirected;4;5;M
Areo-Hotah;Doran-Martell;undirected;12;5;M
Areo-Hotah;Ellaria-Sand;undirected;3;5;M
Areo-Hotah;Obara-Sand;undirected;6;5;M
Arianne-Martell;Balon-Swann;undirected;5;5;F
Arianne-Martell;Doran-Martell;undirected;11;5;F
Arianne-Martell;Ellaria-Sand;undirected;3;5;F
Arianne-Martell;Myrcella-Baratheon;undirected;4;5;F
Arianne-Martell;Obara-Sand;undirected;5;5;F
Arnolf-Karstark;Arthor-Karstark;undirected;3;5;M
Arnolf-Karstark;Asha-Greyjoy;undirected;3;5;M
Arnolf-Karstark;Mors-Umber;undirected;4;5;M
Arnolf-Karstark;Rickard-Karstark;undirected;3;5;M
Arnolf-Karstark;Stannis-Baratheon;undirected;7;5;M
Arron;Emrick;undirected;6;5;M
Arron;Hareth-(Moles-Town);undirected;4;5;M
Arron;Satin;undirected;4;5;M
ARYA;Bran-Stark;undirected;7;5;F
ARYA;Brusco;undirected;4;5;F
ARYA;NED;undirected;4;5;F
ARYA;Jeyne-Poole;undirected;4;5;F
ARYA;JON;undirected;12;5;F
ARYA;Kindly-Man;undirected;4;5;F
ARYA;Mance-Rayder;undirected;3;5;F
ARYA;Melisandre;undirected;4;5;F
ARYA;Ramsay-Snow;undirected;5;5;F
ARYA;Sansa-Stark;undirected;4;5;F
ARYA;Theon-Greyjoy;undirected;7;5;F
ARYA;Waif;undirected;3;5;F
Arys-Oakheart;Gerold-Dayne;undirected;3;5;M
