Source;Target;Weight;Season;Gender
NED;ROBERT;192;1;M
DAENERYS;JORAH;154;1;F
JON;SAM;121;1;M
LITTLEFINGER;NED;107;1;M
NED;VARYS;96;1;M
DAENERYS;DROGO;91;1;F
ARYA;NED;90;1;F
CATELYN;ROBB;90;1;F
BRONN;TYRION;86;1;M
CERSEI;NED;86;1;F
CERSEI;ROBERT;80;1;F
LITTLEFINGER;VARYS;73;1;M
SHAE;TYRION;73;1;F
CATELYN;NED;69;1;F
JOFFREY;SANSA;69;1;M
NED;PYCELLE;68;1;M
DAENERYS;VISERYS;66;1;F
SANSA;SEPTA_MORDANE;64;1;F
TYRION;TYWIN;61;1;M
JEOR;JON;60;1;M
ROBB;THEON;60;1;M
CERSEI;JOFFREY;54;1;F
ARYA;SANSA;53;1;F
BRAN;MAESTER_LUWIN;53;1;M
JAIME;NED;53;1;M
NED;SANSA;49;1;M
BRAN;ROBB;48;1;M
LORAS;RENLY;47;1;M
CERSEI;JAIME;46;1;F
DAENERYS;MIRRI_MAZ_DUUR;45;1;F
JON;TYRION;45;1;M
ARYA;SYRIO_FOREL;44;1;F
JORY_CASSEL;NED;44;1;M
JORAH;VISERYS;43;1;M
JON;PYP;42;1;M
CATELYN;TYRION;41;1;F
ROS;THEON;40;1;M
JOFFREY;NED;39;1;M
CERSEI;SANSA;36;1;F
GRENN;PYP;36;1;M
CATELYN;WALDER;34;1;F
DAENERYS;DOREAH;34;1;F
JAIME;TYRION;34;1;M
JAIME;TYWIN;34;1;M
BENJEN;JON;33;1;M
DAENERYS;IRRI;32;1;F
GREATJON_UMBER;ROBB;31;1;M
MORD;TYRION;31;1;M
CATELYN;LYSA;30;1;F
DOREAH;VISERYS;30;1;F
JORAH;RAKHARO;30;1;M
LYSA;ROBIN;30;1;F
LYSA;TYRION;30;1;F
NED;RENLY;30;1;M
PYP;SAM;30;1;M
RENLY;ROBERT;30;1;M
BRAN;NED;29;1;M
BRAN;OSHA;29;1;M
JON;NED;29;1;M
BRAN;CATELYN;28;1;M
CATELYN;JAIME;28;1;F
CATELYN;RODRIK;28;1;F
DAENERYS;QOTHO;28;1;F
JOFFREY;ROBERT;28;1;M
JON;MAESTER_AEMON;28;1;M
DROGO;VISERYS;27;1;M
JAIME;JORY_CASSEL;27;1;M
BRAN;THEON;26;1;M
CATELYN;LITTLEFINGER;26;1;F
CATELYN;MAESTER_LUWIN;26;1;F
BARRISTAN;NED;25;1;M
ILLYRIO;VISERYS;25;1;M
JON;ROBB;25;1;M
OSHA;THEON;25;1;
ARYA;JOFFREY;24;1;F
GRENN;JON;24;1;M
NED;ROBB;23;1;M
BARRISTAN;ROBERT;22;1;M
CATELYN;CERSEI;22;1;F
LITTLEFINGER;SANSA;22;1;M
SHAGGA;TYRION;22;1;F
TYRION;YOREN;22;1;M
ALLISER_THORNE;JON;20;1;M
ARYA;JON;20;1;F
DROGO;JORAH;20;1;M
JAIME;ROBERT;20;1;M
BRAN;JON;19;1;M
DAENERYS;WINE_MERCHANT;19;1;F
HOUND;SANSA;19;1;M
LITTLEFINGER;PYCELLE;19;1;M
LITTLEFINGER;ROS;19;1;M
THEON;TYRION;19;1;M
ALLISER_THORNE;SAM;18;1;M
ARYA;YOREN;18;1;F
CERSEI;TYRION;18;1;F
BENJEN;TYRION;17;1;M
DAENERYS;RAKHARO;17;1;F
JEOR;SAM;17;1;M
LITTLEFINGER;RENLY;17;1;M
MAESTER_LUWIN;ROBB;17;1;M
ROBERT;SANSA;17;1;M
ROS;TYRION;17;1;M
CATELYN;THEON;16;1;F
GRENN;SAM;16;1;M
HOUND;JOFFREY;16;1;M
ROBB;TYRION;16;1;M
BRAN;TYRION;15;1;M
CATELYN;ROBERT;15;1;F
JEOR;TYRION;15;1;M
JOFFREY;TYRION;15;1;M
JOFFREY;VARYS;15;1;M
LANCEL;ROBERT;15;1;M
MIRRI_MAZ_DUUR;QOTHO;15;1;M
NED;YOREN;15;1;M
PYCELLE;VARYS;15;1;M
BENJEN;NED;14;1;M
BRAN;RICKON;14;1;M
CATELYN;JON;14;1;F
CATELYN;SANSA;14;1;F
JOFFREY;MARILLION;14;1;M
KEVAN;TYRION;14;1;M
LITTLEFINGER;ROBERT;14;1;M
BARRISTAN;CERSEI;13;1;M
CATELYN;VARDIS_EGEN;13;1;F
CERSEI;VARYS;13;1;F
DAENERYS;RHAEGO;13;1;F
JANOS;NED;13;1;M
JOFFREY;PYCELLE;13;1;M
MAESTER_LUWIN;THEON;13;1;M
NED;THEON;13;1;M
PYCELLE;SANSA;13;1;M
GENDRY;NED;12;1;M
HOT_PIE;LOMMY_GREENHANDS;12;1;M
JOFFREY;LITTLEFINGER;12;1;M
JOFFREY;MERYN_TRANT;12;1;M
JOFFREY;ROBB;12;1;M
JON_ARRYN;NED;12;1;M
KEVAN;TYWIN;12;1;M
MAESTER_LUWIN;OSHA;12;1;M
ARYA;SEPTA_MORDANE;11;1;F
BRAN;HODOR;11;1;M
BRONN;SHAE;11;1;M
CATELYN;GREATJON_UMBER;11;1;F
CATELYN;VARYS;11;1;F
GREATJON_UMBER;THEON;11;1;M
IRRI;RAKHARO;11;1;F
MERYN_TRANT;SYRIO_FOREL;11;1;
NED;TYRION;11;1;M
NED;TYWIN;11;1;M
PYCELLE;ROBERT;11;1;M
RENLY;STANNIS;11;1;M
ROBB;RODRIK;11;1;M
ROBERT;VARYS;11;1;M
ALLISER_THORNE;PYP;10;1;M
ARYA;ROBERT;10;1;F
CATELYN;ROBIN;10;1;F
DAENERYS;ILLYRIO;10;1;F
DROGO;MAGO;10;1;M
HOUND;NED;10;1;M
HOUND;TYRION;10;1;M
JAIME;JON;10;1;M
JAIME;ROBB;10;1;M
JEOR;PYP;10;1;M
JOFFREY;MYCAH;10;1;M
JORAH;WINE_MERCHANT;10;1;M
MERYN_TRANT;SANSA;10;1;M
NED;RODRIK;10;1;M
NED;STANNIS;10;1;M
NED;TOBHO_MOTT;10;1;M
PYP;RAST;10;1;M
ALLISER_THORNE;JEOR;9;1;M
ARYA;CERSEI;9;1;F
BRAN;JAIME;9;1;M
BRAN;OLD_NAN;9;1;M
CERSEI;PYCELLE;9;1;F
DROGO;MIRRI_MAZ_DUUR;9;1;M
ILLYRIO;VARYS;9;1;M
IRRI;JORAH;9;1;F
JEOR;MAESTER_AEMON;9;1;M
MHAEGEN;NED;9;1;M
NED;SEPTA_MORDANE;9;1;M
PYCELLE;ROS;9;1;M
RENLY;VARYS;9;1;M
ROBB;SANSA;9;1;M
ROBIN;TYRION;9;1;M
RODRIK;TYRION;9;1;M
VARDIS_EGAN;TYRION;9;1;M
AERYS;NED;8;1;M
BAELOR;NED;8;1;M
CERSEI;LITTLEFINGER;8;1;F
CERSEI;ROBB;8;1;F
DAENERYS;MAGO;8;1;F
DAREON;PYP;8;1;M
HOUND;MERYN_TRANT;8;1;M
JORAH;MIRRI_MAZ_DUUR;8;1;M
OSHA;ROBB;8;1;
PYCELLE;RENLY;8;1;M
ROBERT;TYWIN;8;1;M
RODRIK;THEON;8;1;M
SANSA;VARYS;8;1;F
AERYS;ROBERT;7;1;M
ALLISER_THORNE;GRENN;7;1;M
ARYA;CATELYN;7;1;F
ARYA;GENDRY;7;1;F
ARYA;HOUND;7;1;F
ARYA;JORY_CASSEL;7;1;F
ARYA;STABLE_BOY;7;1;F
ARYA;VARYS;7;1;F
BRAN;ROBERT;7;1;M
BRONN;CATELYN;7;1;M
GREATJON_UMBER;RODRIK;7;1;M
HUGH_OF_THE_VALE;JORY_CASSEL;7;1;M
JON;RAST;7;1;M
JON;THEON;7;1;M
JON_ARRYN;ROBERT;7;1;M
