Source,Target,Type,Weight,book
AEGON,DAENERYS,UNDIRECTED,4,5
AEGON-(SON-OF-RHAEGAR),DAENERYS,UNDIRECTED,11,5
AEGON-(SON-OF-RHAEGAR),ELIA,UNDIRECTED,4,5
AEGON-(SON-OF-RHAEGAR),FRANKLYN-FLOWERS,UNDIRECTED,3,5
AEGON-(SON-OF-RHAEGAR),HALDON,UNDIRECTED,14,5
AEGON-(SON-OF-RHAEGAR),HARRY-STRICKLAND,UNDIRECTED,9,5
AEGON-(SON-OF-RHAEGAR),JON-CONNINGTON,UNDIRECTED,16,5
AEGON-(SON-OF-RHAEGAR),LEMORE,UNDIRECTED,10,5
AEGON-(SON-OF-RHAEGAR),RHAEGAR,UNDIRECTED,9,5
AEGON-(SON-OF-RHAEGAR),RHAENYS-(DAUGHTER-OF-RHAEGAR),UNDIRECTED,4,5
AEGON-(SON-OF-RHAEGAR),ROLLY-DUCKFIELD,UNDIRECTED,11,5
AEGON-(SON-OF-RHAEGAR),TYRION,UNDIRECTED,23,5
AEGON-(SON-OF-RHAEGAR),TYWIN,UNDIRECTED,3,5
AEGON-(SON-OF-RHAEGAR),VISERYS,UNDIRECTED,3,5
AEGON-(SON-OF-RHAEGAR),YANDRY,UNDIRECTED,6,5
AEGON-(SON-OF-RHAEGAR),YSILLA,UNDIRECTED,4,5
MAESTER_AEMON,CLYDAS,UNDIRECTED,7,5
MAESTER_AEMON,GILLY,UNDIRECTED,3,5
MAESTER_AEMON,JON,UNDIRECTED,12,5
MAESTER_AEMON,SAM,UNDIRECTED,16,5
MAESTER_AEMON,STANNIS,UNDIRECTED,3,5
AENYS,HOSTEEN,UNDIRECTED,6,5
AENYS,THEON,UNDIRECTED,3,5
AENYS,WYMAN-MANDERLY,UNDIRECTED,4,5
AERON,EURON,UNDIRECTED,4,5
AERON,VICTARION,UNDIRECTED,3,5
AERYS,RHAEGAR,UNDIRECTED,5,5
AERYS,ROBERT,UNDIRECTED,5,5
AERYS,TYWIN,UNDIRECTED,6,5
AGGO,BARRISTAN,UNDIRECTED,3,5
AGGO,DAARIO,UNDIRECTED,4,5
AGGO,DAENERYS,UNDIRECTED,9,5
AGGO,GREY_WORM,UNDIRECTED,5,5
AGGO,JHOGO,UNDIRECTED,6,5
AGGO,RAKHARO,UNDIRECTED,9,5
ALLISER_THORNE,JON,UNDIRECTED,6,5
ALYS,JON,UNDIRECTED,13,5
ALYS,MELISANDRE,UNDIRECTED,6,5
